osm_id,code,fclass,name,type,center,area
201924399,1500,building,,residential,"(103.88633379024388, 103.88633379024388)",46.712890625
201941136,1500,building,Apartment PDRM,residential,"(103.76714604117649, 103.76714604117649)",68.4111328125
201941204,1500,building,The Wadihana Condominium,residential,"(103.75928514800002, 103.75928514800002)",42.248046875
202907732,1500,building,,residential,"(101.62777117419355, 101.62777117419355)",68.44873046875
203251221,1500,building,,residential,"(103.8841328095238, 103.8841328095238)",22.1845703125
203251222,1500,building,,residential,"(103.88540601764707, 103.88540601764707)",29.677734375
203251223,1500,building,,residential,"(103.88567173333331, 103.88567173333331)",37.5
203251224,1500,building,,residential,"(103.88568223170734, 103.88568223170734)",34.21875
203256927,1500,building,,residential,"(103.88333017586203, 103.88333017586203)",36.85546875
203256928,1500,building,,residential,"(103.88243882352943, 103.88243882352943)",38.1064453125
203256929,1500,building,,residential,"(103.88334476666668, 103.88334476666668)",21.4853515625
203256930,1500,building,,residential,"(103.88281879189189, 103.88281879189189)",23.7021484375
203256931,1500,building,,residential,"(103.88278203859652, 103.88278203859652)",31.498046875
203256932,1500,building,,residential,"(103.88291791351352, 103.88291791351352)",45.705078125
203256933,1500,building,,residential,"(103.88432165581395, 103.88432165581395)",25.2578125
203256935,1500,building,,residential,"(103.88443695714287, 103.88443695714287)",37.9814453125
203256936,1500,building,,residential,"(103.88444965999999, 103.88444965999999)",41.0771484375
203256937,1500,building,,residential,"(103.8842266407407, 103.8842266407407)",30.3193359375
203256938,1500,building,,residential,"(103.88506886206898, 103.88506886206898)",30.87109375
203256940,1500,building,,residential,"(103.88429654545455, 103.88429654545455)",32.7109375
203258116,1500,building,2A,residential,"(103.90310733999999, 103.90310733999999)",40.5869140625
203374399,1500,building,1,residential,"(103.90245440000001, 103.90245440000001)",29.193359375
203374401,1500,building,,residential,"(103.9026627, 103.9026627)",34.4765625
203374402,1500,building,2,residential,"(103.90286516, 103.90286516)",28.7626953125
203374403,1500,building,31A,residential,"(103.90157336666668, 103.90157336666668)",79.244140625
203967884,1500,building,,residential,"(116.12560404615387, 116.12560404615387)",36.0634765625
203967886,1500,building,,residential,"(116.12569376000002, 116.12569376000002)",26.8037109375
204247382,1500,building,11,residential,"(103.90428831666667, 103.90428831666667)",32.3427734375
204247383,1500,building,3,residential,"(103.90320648, 103.90320648)",18.68359375
204247384,1500,building,6,residential,"(103.90427994, 103.90427994)",17.107421875
204247385,1500,building,5,residential,"(103.90346830000001, 103.90346830000001)",35.8115234375
204247386,1500,building,7,residential,"(103.904461, 103.904461)",21.8837890625
204247387,1500,building,8,residential,"(103.90466621666667, 103.90466621666667)",17.1044921875
205358992,1500,building,,residential,"(103.82944883684212, 103.82944883684212)",9.2021484375
205768908,1500,building,,residential,"(103.83408002000002, 103.83408002000002)",1.7666015625
205768912,1500,building,,residential,"(103.83370877777779, 103.83370877777779)",9.361328125
205768913,1500,building,,residential,"(103.83385198333333, 103.83385198333333)",6.7177734375
205768914,1500,building,,residential,"(103.83362489999999, 103.83362489999999)",8.6630859375
205768919,1500,building,,residential,"(103.83304052307693, 103.83304052307693)",10.5576171875
205768921,1500,building,,residential,"(103.83432581250003, 103.83432581250003)",10.9814453125
205768923,1500,building,,residential,"(103.83398014, 103.83398014)",7.388671875
205768925,1500,building,,residential,"(103.83411026666668, 103.83411026666668)",13.806640625
205768927,1500,building,,residential,"(103.83362147500002, 103.83362147500002)",2.140625
205770143,1500,building,,residential,"(103.83499687826087, 103.83499687826087)",14.5908203125
205818563,1500,building,,residential,"(103.8883898882353, 103.8883898882353)",24.6923828125
205818565,1500,building,,residential,"(103.88740078000001, 103.88740078000001)",17.791015625
205884418,1500,building,N.Park Block A-B,residential,"(100.30594343333333, 100.30594343333333)",173.25341796875
205884419,1500,building,N.Park Block C-D,residential,"(100.30706496666666, 100.30706496666666)",168.2587890625
206291335,1500,building,K28,residential,"(103.62772473076924, 103.62772473076924)",9.3662109375
206291531,1500,building,K25,residential,"(103.6273959076923, 103.6273959076923)",9.5361328125
206292006,1500,building,K29,residential,"(103.62807583846153, 103.62807583846153)",7.572265625
206292092,1500,building,K35,residential,"(103.62811436153847, 103.62811436153847)",9.9326171875
206292359,1500,building,K37,residential,"(103.62805263076925, 103.62805263076925)",9.755859375
206292613,1500,building,K38,residential,"(103.62841289999999, 103.62841289999999)",7.8251953125
206292860,1500,building,K36,residential,"(103.62848034615385, 103.62848034615385)",7.9560546875
206293153,1500,building,K11,residential,"(103.626415756, 103.626415756)",82.09765625
206295394,1500,building,K45,residential,"(103.62928858000001, 103.62928858000001)",4.46875
206386593,1500,building,K03,residential,"(103.6292009, 103.6292009)",5.8173828125
206386594,1500,building,K05,residential,"(103.62870315999999, 103.62870315999999)",6.77734375
206386595,1500,building,K06,residential,"(103.62856826, 103.62856826)",17.6708984375
206386596,1500,building,K04,residential,"(103.62929384000002, 103.62929384000002)",16.8583984375
206393101,1500,building,K23,residential,"(103.62728332307694, 103.62728332307694)",8.63671875
206393102,1500,building,K19,residential,"(103.62730428, 103.62730428)",3.5439453125
206393103,1500,building,K24,residential,"(103.62728296923078, 103.62728296923078)",8.75
206393104,1500,building,K20,residential,"(103.62725809999999, 103.62725809999999)",3.5517578125
206394492,1500,building,K32,residential,"(103.62834195999999, 103.62834195999999)",4.1806640625
206394493,1500,building,K26,residential,"(103.62776063076923, 103.62776063076923)",14.05078125
206394494,1500,building,K18,residential,"(103.62826071538461, 103.62826071538461)",14.6484375
206394495,1500,building,K21,residential,"(103.6277685, 103.6277685)",12.70703125
206394496,1500,building,K22,residential,"(103.62770436923077, 103.62770436923077)",12.8271484375
206394497,1500,building,K17,residential,"(103.6283107846154, 103.6283107846154)",13.2705078125
206394498,1500,building,K33,residential,"(103.628216, 103.628216)",4.376953125
206394499,1500,building,K27,residential,"(103.62794988235292, 103.62794988235292)",13.3720703125
206395062,1500,building,K16,residential,"(103.62787301818184, 103.62787301818184)",14.4501953125
206395063,1500,building,K15,residential,"(103.62793044545455, 103.62793044545455)",12.4580078125
206395523,1500,building,K14,residential,"(103.6273476, 103.6273476)",11.57421875
206395524,1500,building,K07,residential,"(103.62780762, 103.62780762)",15.5947265625
206395525,1500,building,K06,residential,"(103.62784778, 103.62784778)",5.2802734375
206395526,1500,building,K09,residential,"(103.62745886, 103.62745886)",16.78125
206395527,1500,building,K10,residential,"(103.6272506, 103.6272506)",4.7177734375
206395528,1500,building,K13,residential,"(103.62723139999999, 103.62723139999999)",12.9033203125
206495688,1500,building,MA7,residential,"(103.63532878823528, 103.63532878823528)",42.037109375
206496153,1500,building,MA4,residential,"(103.63504539500002, 103.63504539500002)",50.8671875
