left,top,right,bottom,id,district
11158054.94,610925.2518,11159054.94,609925.2518,384,
11158054.94,609925.2518,11159054.94,608925.2518,385,Barat Daya
11158054.94,608925.2518,11159054.94,607925.2518,386,Barat Daya
11158054.94,607925.2518,11159054.94,606925.2518,387,Barat Daya
11158054.94,606925.2518,11159054.94,605925.2518,388,Barat Daya
11158054.94,605925.2518,11159054.94,604925.2518,389,Barat Daya
11158054.94,604925.2518,11159054.94,603925.2518,390,Barat Daya
11158054.94,603925.2518,11159054.94,602925.2518,391,Barat Daya
11158054.94,602925.2518,11159054.94,601925.2518,392,Barat Daya
11158054.94,601925.2518,11159054.94,600925.2518,393,Timur Laut
11158054.94,600925.2518,11159054.94,599925.2518,394,Barat Daya
11158054.94,599925.2518,11159054.94,598925.2518,395,Barat Daya
11158054.94,598925.2518,11159054.94,597925.2518,396,Barat Daya
11158054.94,597925.2518,11159054.94,596925.2518,397,Barat Daya
11158054.94,596925.2518,11159054.94,595925.2518,398,Barat Daya
11158054.94,595925.2518,11159054.94,594925.2518,399,Barat Daya
11158054.94,594925.2518,11159054.94,593925.2518,400,Barat Daya
11158054.94,593925.2518,11159054.94,592925.2518,401,Barat Daya
11158054.94,592925.2518,11159054.94,591925.2518,402,Barat Daya
11158054.94,591925.2518,11159054.94,590925.2518,403,Barat Daya
11158054.94,590925.2518,11159054.94,589925.2518,404,Barat Daya
11158054.94,589925.2518,11159054.94,588925.2518,405,Barat Daya
11158054.94,588925.2518,11159054.94,587925.2518,406,Barat Daya
11158054.94,587925.2518,11159054.94,586925.2518,407,
11158054.94,586925.2518,11159054.94,585925.2518,408,
11158054.94,585925.2518,11159054.94,584925.2518,409,
11158054.94,584925.2518,11159054.94,583925.2518,410,
11158054.94,583925.2518,11159054.94,582925.2518,411,
11158054.94,582925.2518,11159054.94,581925.2518,412,
11158054.94,581925.2518,11159054.94,580925.2518,413,
11158054.94,580925.2518,11159054.94,579925.2518,414,
11158054.94,579925.2518,11159054.94,578925.2518,415,
11158054.94,578925.2518,11159054.94,577925.2518,416,
11158054.94,577925.2518,11159054.94,576925.2518,417,
11158054.94,576925.2518,11159054.94,575925.2518,418,
11158054.94,575925.2518,11159054.94,574925.2518,419,
11158054.94,574925.2518,11159054.94,573925.2518,420,
11158054.94,573925.2518,11159054.94,572925.2518,421,
11158054.94,572925.2518,11159054.94,571925.2518,422,
11158054.94,571925.2518,11159054.94,570925.2518,423,
11158054.94,570925.2518,11159054.94,569925.2518,424,
11159054.94,622925.2518,11160054.94,621925.2518,425,
11159054.94,621925.2518,11160054.94,620925.2518,426,
11159054.94,620925.2518,11160054.94,619925.2518,427,
11159054.94,619925.2518,11160054.94,618925.2518,428,
11159054.94,618925.2518,11160054.94,617925.2518,429,
11159054.94,617925.2518,11160054.94,616925.2518,430,
11159054.94,616925.2518,11160054.94,615925.2518,431,
11159054.94,615925.2518,11160054.94,614925.2518,432,
11159054.94,614925.2518,11160054.94,613925.2518,433,
11159054.94,613925.2518,11160054.94,612925.2518,434,
11159054.94,612925.2518,11160054.94,611925.2518,435,
11159054.94,611925.2518,11160054.94,610925.2518,436,
11159054.94,610925.2518,11160054.94,609925.2518,437,Timur Laut
11159054.94,609925.2518,11160054.94,608925.2518,438,Timur Laut
11159054.94,608925.2518,11160054.94,607925.2518,439,Timur Laut
11159054.94,607925.2518,11160054.94,606925.2518,440,Timur Laut
11159054.94,606925.2518,11160054.94,605925.2518,441,Timur Laut
11159054.94,605925.2518,11160054.94,604925.2518,442,Timur Laut
11159054.94,604925.2518,11160054.94,603925.2518,443,Timur Laut
11159054.94,603925.2518,11160054.94,602925.2518,444,Timur Laut
11159054.94,602925.2518,11160054.94,601925.2518,445,Timur Laut
11159054.94,601925.2518,11160054.94,600925.2518,446,Timur Laut
11159054.94,600925.2518,11160054.94,599925.2518,447,Timur Laut
11159054.94,599925.2518,11160054.94,598925.2518,448,Barat Daya
11159054.94,598925.2518,11160054.94,597925.2518,449,Barat Daya
11159054.94,597925.2518,11160054.94,596925.2518,450,Barat Daya
11159054.94,596925.2518,11160054.94,595925.2518,451,Barat Daya
11159054.94,595925.2518,11160054.94,594925.2518,452,Barat Daya
11159054.94,594925.2518,11160054.94,593925.2518,453,Barat Daya
11159054.94,593925.2518,11160054.94,592925.2518,454,Barat Daya
11159054.94,592925.2518,11160054.94,591925.2518,455,Barat Daya
11159054.94,591925.2518,11160054.94,590925.2518,456,Barat Daya
11159054.94,590925.2518,11160054.94,589925.2518,457,Barat Daya
11159054.94,589925.2518,11160054.94,588925.2518,458,Barat Daya
11159054.94,588925.2518,11160054.94,587925.2518,459,Barat Daya
11159054.94,587925.2518,11160054.94,586925.2518,460,Barat Daya
11159054.94,586925.2518,11160054.94,585925.2518,461,
11159054.94,585925.2518,11160054.94,584925.2518,462,
11159054.94,584925.2518,11160054.94,583925.2518,463,
11159054.94,583925.2518,11160054.94,582925.2518,464,
11159054.94,582925.2518,11160054.94,581925.2518,465,
11159054.94,581925.2518,11160054.94,580925.2518,466,
11159054.94,580925.2518,11160054.94,579925.2518,467,
11159054.94,579925.2518,11160054.94,578925.2518,468,
11159054.94,578925.2518,11160054.94,577925.2518,469,
11159054.94,577925.2518,11160054.94,576925.2518,470,
11159054.94,576925.2518,11160054.94,575925.2518,471,
11159054.94,575925.2518,11160054.94,574925.2518,472,
11159054.94,574925.2518,11160054.94,573925.2518,473,
11159054.94,573925.2518,11160054.94,572925.2518,474,
11159054.94,572925.2518,11160054.94,571925.2518,475,
