id,name,type,area,center_lng,center_lat
2710,,bungalow,185.27098429151226,100.4872857,5.3339156999999995
2711,,bungalow,186.4003528606308,100.48743125,5.33417675
2712,,bungalow,184.12578171042367,100.48748782499999,5.3343828250000005
2713,,bungalow,158.44046170916144,100.488099475,5.335817199999999
2714,,bungalow,116.79260158949262,100.487977675,5.335533125
2715,,apartments,3443.384380160112,100.33651845,5.40957255
2716,,apartments,394.9722991122724,100.4423131,5.347527
2717,,apartments,395.1855508703989,100.4421993,5.347068125
2718,,apartments,395.29132186268316,100.44218035,5.346920825
2719,Kondominium Sentral,apartments,3652.1771455671396,100.43517258,5.342740000000001
2720,,bungalow,4935.212700301945,100.48433885,5.3178336
2721,,bungalow,4524.312133764792,100.483682625,5.317472825
2722,,bungalow,3868.66264585011,100.48382535,5.3168435249999995
2723,,bungalow,4639.989573157193,100.484481125,5.317208925
2724,,apartments,850.1079153897509,100.3929013,5.431923825
2725,,apartments,636.5783110946297,100.39291820000001,5.4323193000000005
2726,,bungalow,134.95818312572572,100.47279965,5.3331037375
2727,,bungalow,165.75053197022737,100.47271221250001,5.3328822875
2728,,bungalow,171.3962780311339,100.472870225,5.3328531125
2729,,bungalow,134.84201585652912,100.4729912,5.3328293
2730,,bungalow,137.0670334262866,100.4728475,5.333534575000001
2731,,bungalow,142.5704483778863,100.47299579999999,5.3335121
2732,,bungalow,133.58589303878676,100.473107625,5.3334912
2733,,bungalow,130.1547490040171,100.472863375,5.3333237
2734,,apartments,1349.2896404859305,100.38182599999999,5.42589005
2735,,bungalow,1738.387660846616,100.43017515,5.35427175
2736,,bungalow,289.20089719201394,100.42978314000001,5.35445298
2737,,bungalow,2770.084427461383,100.4305411,5.35459232
2738,,bungalow,2057.749262372222,100.42983273333334,5.355174316666667
2739,Evoke Residence,apartments,5593.587020722348,100.41825632727273,5.370709763636364
2740,,apartments,2951.8362434422434,100.4053893,5.406519449999999
2741,,apartments,2705.2840962536798,100.38145825,5.417882325
2742,Taman Terbilang,apartments,2494.4352307537392,100.38209023749998,5.4412569375
2743,Setia Pinnacle,apartments,8537.385746285456,100.26416738,5.335962980000001
2744,,apartments,874.5293353149401,100.30967525,5.340442875
2745,,apartments,1015.3485536583547,100.309814,5.3408867749999995
2746,,apartments,1239.2788100463936,100.3091987,5.341239685714285
2747,,apartments,1290.3672346518438,100.30855211,5.341059939999999
2748,,apartments,1296.3378933773538,100.3090607125,5.34053975
2749,,apartments,2049.3202809812706,100.275781125,5.332068400000001
2750,,apartments,2534.994724976062,100.27623735454546,5.331254527272727
2751,,apartments,2189.2769851848325,100.22910156666667,5.302583216666667
2752,,apartments,2591.8531707646102,100.22928765,5.302262125
2753,,apartments,1768.2668388421946,100.23060325714286,5.301322185714285
2754,,apartments,1506.8982931757014,100.230739375,5.3011245250000005
2755,,apartments,1674.3955077238854,100.2330393,5.30192665
2756,,apartments,2154.6818123041085,100.23295695,5.301539825
2757,,apartments,1158.4081050370905,100.2513966,5.2905149125
2758,,apartments,260.5495317876426,100.25689462,5.2979295
2759,,apartments,2998.7904829425715,100.25815868571428,5.302392157142857
2760,,apartments,14244.794407581008,100.258717125,5.300597849999999
2761,,apartments,1026.3901346321973,100.25497090000002,5.3018567
2762,,bungalow,6562.446150393674,100.2721096,5.335786
2763,,bungalow,2569.2297408760683,100.27222880000001,5.336172400000001
2764,,apartments,10682.539464637974,100.27247495714286,5.336752928571429
2765,,apartments,2354.5001771784673,100.273554225,5.333752949999999
2766,,apartments,15529.488157928576,100.273717175,5.333016775
2767,,apartments,6278.393899787349,100.2686935,5.335502816666666
2768,,apartments,1183.5054860814387,100.29629510000001,5.447480012500001
2769,,apartments,2941.0021355233152,100.25421537142857,5.293437942857143
2770,,bungalow,320.727480713246,100.49886018333332,5.338629966666667
2771,,apartments,1039.2724047864187,100.2687588,5.3420364750000005
2772,,apartments,1039.2724107562387,100.26934689999999,5.342032925
2773,,apartments,996.4509476544655,100.26857415,5.34248245
2774,,apartments,1234.0368873385462,100.27007172500002,5.343090549999999
2775,,apartments,1600.799659543984,100.4369486375,5.344436287500001
2776,,apartments,1290.6907720435365,100.436554075,5.344688975
2777,,apartments,1750.1670968105268,100.4365393625,5.3450996
2778,,apartments,1233.8900869788195,100.27070075,5.342801158333333
2779,,apartments,995.1763644463949,100.27325775000003,5.3383321875
2780,,apartments,757.1145955542551,100.2736884,5.338117149999999
2781,,apartments,1664.8483058216555,100.27344705,5.3378258333333335
2782,C,apartments,2205.2448812858042,100.273165625,5.3415855
2783,,apartments,4970.695820022958,100.286532025,5.3989818
2784,,apartments,11934.706736557586,100.28643937777778,5.398004722222222
2785,,apartments,935.1142897083992,100.287392575,5.39866585
2786,,apartments,1146.9727434954084,100.29114978749999,5.396728849999999
2787,,apartments,1171.0238645648287,100.29150285,5.3973096875
2788,,apartments,1025.6757012158548,100.29000433750001,5.395108825
2789,,apartments,952.6202314106725,100.290394125,5.395717499999999
2790,,apartments,12412.069927897255,100.29090721904761,5.396390757142857
2791,,bungalow,149.0448374082087,100.3130026,5.42263146
2792,,bungalow,136.22470921242706,100.3129413,5.42275285
2793,,bungalow,136.1477621290193,100.31291437499999,5.42287955
2794,,bungalow,136.38515133384058,100.31286850000001,5.4230035
2795,El Nitsjo (Jho Low house),bungalow,873.6595664278333,100.30048938333334,5.462582716666667
2796,,bungalow,306.17414250615684,100.30021710000001,5.462700083333334
2797,,bungalow,146.22238581114658,100.3000218,5.462839349999999
2798,,bungalow,273.91433444771127,100.29984533333334,5.462920933333334
